Country,State,Year,Crop Category,Season,Crop Name,Area (UOM:Ha(Hectares)),Production (UOM:t(Tonnes)),Yield (UOM:Kg/Ha(KilogramperHectare))
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2013",Oilseeds and Commercial Crops,Rabi or Summer,Sunflower,62.02,53.98,870.364
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Rabi,Wheat,8,4,500
India,Andaman And Nicobar Islands,"Agriculture Year (Jul - Jun), 2018",Oilseeds and Commercial Crops,Rabi,Linseed,,0,
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Kharif,Maize,85,355,4176.471
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2015",Oilseeds and Commercial Crops,Kharif,Soyabean,1,2,2000
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Kharif,Cereals,1921,5663.59,2948.251
India,Andaman And Nicobar Islands,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Kharif,Coarse Cereals,0.12,0.352,2933.333
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2015",Oilseeds and Commercial Crops,,Cotton,666,320.96,481.922
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2018",Foodgrains,Rabi,Gram,478,242.824,508
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2016",Oilseeds and Commercial Crops,Kharif,Sesamum,64,17,265.625
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2012",Oilseeds and Commercial Crops,Kharif,Sunflower,17,13,764.706
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2018",Foodgrains,Rabi,Moong,103,79.413,771
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2015",Oilseeds and Commercial Crops,,Jute and Mesta,5,7.92,1584
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Kharif,Maize,82,283.19,3453.537
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2018",Foodgrains,Kharif,Bajra,22,22.682,1031
India,Andaman And Nicobar Islands,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Kharif,Rice,6.1,13.438,2202.951
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Rabi,Cereals,1212.73,5378.62,4435.134
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Rabi,Kulthi (Horse Gram),23,11,478.261
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2011",Oilseeds and Commercial Crops,,Linseed,0,0,
India,Andaman And Nicobar Islands,"Agriculture Year (Jul - Jun), 2018",Foodgrains,Kharif,Urad,0.181,0.029,160
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2016",Oilseeds and Commercial Crops,,Rapeseed and Mustard,5,2,400
India,Andaman And Nicobar Islands,"Agriculture Year (Jul - Jun), 2014",Foodgrains,Rabi,Pulses,1.56,0.84,538.462
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2011",Oilseeds and Commercial Crops,Rabi,Groundnut,102,226.5,2220.588
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2015",Oilseeds and Commercial Crops,Rabi or Summer,Sunflower,20,18,900
India,Andhra Pradesh,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Kharif,Rice,1399,4105.333,2934.477
